0,1
#bodyContent,Jump to content
/wiki/Main_Page,Main page
/wiki/Wikipedia:Contents,Contents
/wiki/Portal:Current_events,Current events
/wiki/Special:Random,Random article
/wiki/Wikipedia:About,About Wikipedia
//en.wikipedia.org/wiki/Wikipedia:Contact_us,Contact us
https://donate.wikimedia.org/wiki/Special:FundraiserRedirector?utm_source=donate&utm_medium=sidebar&utm_campaign=C13_en.wikipedia.org&uselang=en,Donate
/wiki/Help:Contents,Help
/wiki/Help:Introduction,Learn to edit
/wiki/Wikipedia:Community_portal,Community portal
/wiki/Special:RecentChanges,Recent changes
/wiki/Wikipedia:File_upload_wizard,Upload file
/wiki/Main_Page,"





"
/wiki/Special:Search,"
Search
"
/w/index.php?title=Special:CreateAccount&returnto=Main+Page,Create account
/w/index.php?title=Special:UserLogin&returnto=Main+Page,Log in
/w/index.php?title=Special:CreateAccount&returnto=Main+Page, Create account
/w/index.php?title=Special:UserLogin&returnto=Main+Page, Log in
/wiki/Help:Introduction,learn more
/wiki/Special:MyContributions,Contributions
/wiki/Special:MyTalk,Talk
/wiki/Main_Page,Main Page
/wiki/Talk:Main_Page,Talk
/wiki/Main_Page,Read
/w/index.php?title=Main_Page&action=edit,View source
/w/index.php?title=Main_Page&action=history,View history
/wiki/Main_Page,Read
/w/index.php?title=Main_Page&action=edit,View source
/w/index.php?title=Main_Page&action=history,View history
/wiki/Special:WhatLinksHere/Main_Page,What links here
/wiki/Special:RecentChangesLinked/Main_Page,Related changes
/wiki/Wikipedia:File_Upload_Wizard,Upload file
/wiki/Special:SpecialPages,Special pages
/w/index.php?title=Main_Page&oldid=1225315602,Permanent link
/w/index.php?title=Main_Page&action=info,Page information
/w/index.php?title=Special:CiteThisPage&page=Main_Page&id=1225315602&wpFormIdentifier=titleform,Cite this page
/w/index.php?title=Special:UrlShortener&url=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FMain_Page,Get shortened URL
/w/index.php?title=Special:QrCode&url=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FMain_Page,Download QR code
https://www.wikidata.org/wiki/Special:EntityPage/Q5296,Wikidata item
/w/index.php?title=Special:DownloadAsPdf&page=Main_Page&action=show-download-screen,Download as PDF
/w/index.php?title=Main_Page&printable=yes,Printable version
https://commons.wikimedia.org/wiki/Main_Page,Wikimedia Commons
https://foundation.wikimedia.org/wiki/Home,Wikimedia Foundation
https://www.mediawiki.org/wiki/MediaWiki,MediaWiki
https://meta.wikimedia.org/wiki/Main_Page,Meta-Wiki
https://outreach.wikimedia.org/wiki/Main_Page,Wikimedia Outreach
https://wikisource.org/wiki/Main_Page,Multilingual Wikisource
https://species.wikimedia.org/wiki/Main_Page,Wikispecies
https://en.wikibooks.org/wiki/Main_Page,Wikibooks
https://www.wikidata.org/wiki/Wikidata:Main_Page,Wikidata
https://www.wikifunctions.org/wiki/Wikifunctions:Main_Page,Wikifunctions
https://wikimania.wikimedia.org/wiki/Wikimania,Wikimania
https://en.wikinews.org/wiki/Main_Page,Wikinews
https://en.wikiquote.org/wiki/Main_Page,Wikiquote
https://en.wikisource.org/wiki/Main_Page,Wikisource
https://en.wikiversity.org/wiki/Wikiversity:Main_Page,Wikiversity
https://en.wikivoyage.org/wiki/Main_Page,Wikivoyage
https://en.wiktionary.org/wiki/Wiktionary:Main_Page,Wiktionary
/wiki/Wikipedia,Wikipedia
/wiki/Free_content,free
/wiki/Encyclopedia,encyclopedia
/wiki/Help:Introduction_to_Wikipedia,anyone can edit
/wiki/Special:Statistics,"6,886,375"
