Scientific_Name,Duration,Active_Growth_Period,Foliage_Color,pH_Min,pH_Max,Precip_Min,Precip_Max,Shade_Tolerance,Temp_Min_F
Abelmoschus,,,,,,,,,
Abelmoschus esculentus,"Annual, Perennial",,,,,,,,
Abies,,,,,,,,,
Abies balsamea,Perennial,Spring and Summer,Green,4,6,13,60,Tolerant,-43
Abies balsamea var. balsamea,Perennial,,,,,,,,
Abutilon,,,,,,,,,
Abutilon theophrasti,Annual,,,,,,,,
Acacia,,,,,,,,,
Acacia constricta,Perennial,Spring and Summer,Green,7,8.5,4,20,Intolerant,-13
Acacia constricta var. constricta,Perennial,,,,,,,,
Acalypha,,,,,,,,,
Acalypha gracilens,Annual,,,,,,,,
Acalypha rhomboidea,Annual,,,,,,,,
Acalypha virginica,Annual,"Spring, Summer, Fall",Green,5.9,7,13,60,Intermediate,33
Acarospora,,,,,,,,,
Acer,,,,,,,,,
Acer negundo,Perennial,Spring and Summer,Green,5,7.8,15,75,Tolerant,-46
Acer negundo var. negundo,Perennial,,,,,,,,
Acer nigrum,Perennial,Spring and Summer,Green,4.5,7.3,24,60,Tolerant,-47
Acer pensylvanicum,Perennial,Spring and Summer,Green,4.4,6.5,24,76,Tolerant,-47
Acer platanoides,Perennial,Spring and Summer,Green,4.8,7.2,32,50,Intermediate,-28
Acer pseudoplatanus,Perennial,Spring and Summer,Yellow-Green,5.8,7,32,60,Intolerant,-23
Acer rubrum,Perennial,Spring and Summer,Green,4.7,7.3,25,80,Intermediate,-47
Acer rubrum var. rubrum,Perennial,,,,,,,,
Acer rubrum var. trilobum,Perennial,,,,,,,,
Acer saccharinum,Perennial,Spring and Summer,Green,4,7.3,20,70,Intermediate,-47
Acer saccharum,Perennial,Spring and Summer,Green,3.7,7.9,22,80,Tolerant,-47
Acer saccharum var. saccharum,Perennial,,,,,,,,
Acer spicatum,Perennial,Spring and Summer,Green,4.8,7,30,70,Tolerant,-47
Achillea,,,,,,,,,
Achillea millefolium,Perennial,Spring,Green,6,8,8,60,Intermediate,-38
Achillea millefolium var. occidentalis,Perennial,Spring,Green,6,8,8,26,Intermediate,-38
Achyranthes,,,,,,,,,
Achyranthes aspera,"Annual, Perennial",,,,,,,,
Achyranthes aspera var. pubescens,"Annual, Perennial",,,,,,,,
Acinos,,,,,,,,,
Acinos arvensis,"Annual, Perennial",,,,,,,,
Aconitum,,,,,,,,,
Aconitum uncinatum,Perennial,,,,,,,,
Aconitum uncinatum ssp. muticum,Perennial,,,,,,,,
Aconitum uncinatum ssp. uncinatum,Perennial,,,,,,,,
Acorus,,,,,,,,,
Acorus calamus,Perennial,Spring and Summer,Green,5.2,7.2,32,60,Intolerant,-38
Actaea,,,,,,,,,
Actaea pachypoda,Perennial,,,,,,,,
Actaea podocarpa,Perennial,,,,,,,,
Actaea racemosa,Perennial,,,,,,,,
Actaea racemosa var. racemosa,Perennial,,,,,,,,
Adiantum,,,,,,,,,
Adiantum aleuticum,Perennial,,,,,,,,
Adiantum capillus-veneris,Perennial,Spring and Summer,Green,6,8,10,60,Tolerant,-33
Adiantum pedatum,Perennial,Spring and Summer,Dark Green,4.6,6.6,36,60,Tolerant,-38
Adlumia,,,,,,,,,
Adlumia fungosa,Biennial,,,,,,,,
Aegilops,,,,,,,,,
Aegilops triuncialis,Annual,,,,,,,,
Aegopodium,,,,,,,,,
Aegopodium podagraria,Perennial,,,,,,,,
Aeschynomene,,,,,,,,,
Aeschynomene americana,Perennial,,,,,,,,
Aeschynomene virginica,Annual,,,,,,,,
Aesculus,,,,,,,,,
Aesculus flava,Perennial,Spring and Summer,Green,5,7,39,84,Tolerant,-18
Aesculus hippocastanum,Perennial,,,,,,,,
Aesculus ?hybrida,Perennial,,,,,,,,
Agalinis,,,,,,,,,
Agalinis acuta,Annual,,,,,,,,
Agalinis auriculata,Annual,,,,,,,,
Agalinis fasciculata,Annual,,,,,,,,
Agalinis linifolia,Perennial,,,,,,,,
Agalinis maritima,Annual,,,,,,,,
Agalinis maritima var. maritima,Annual,,,,,,,,
Agalinis obtusifolia,Annual,,,,,,,,
Agalinis purpurea,Annual,,,,,,,,
Agalinis setacea,Annual,,,,,,,,
Agalinis skinneriana,Annual,,,,,,,,
Agalinis tenuifolia,Annual,,,,,,,,
Agalinis tenuifolia var. tenuifolia,Annual,,,,,,,,
Agastache,,,,,,,,,
Agastache nepetoides,Perennial,,,,,,,,
Agastache scrophulariifolia,Perennial,,,,,,,,
Ageratina,,,,,,,,,
Ageratina altissima,Perennial,,,,,,,,
Ageratina altissima var. altissima,Perennial,,,,,,,,
Ageratina aromatica,Perennial,,,,,,,,
Ageratina aromatica var. aromatica,Perennial,,,,,,,,
Ageratum,,,,,,,,,
Ageratum conyzoides,"Annual, Perennial",,,,,,,,
Agrimonia,,,,,,,,,
Agrimonia gryposepala,Perennial,Spring,Green,4.5,7,15,55,Intermediate,-43
Agrimonia microcarpa,Perennial,,,,,,,,
Agrimonia parviflora,Perennial,Spring and Summer,Green,6,8,24,50,Intermediate,-33
Agrimonia pubescens,Perennial,,,,,,,,
Agrimonia rostellata,Perennial,Spring,Green,4.5,7,35,50,Intermediate,-33
Agrimonia striata,Perennial,Spring and Summer,Green,5.5,7.5,8,45,Tolerant,-43
Agrostemma,,,,,,,,,
Agrostemma githago,Annual,,,,,,,,
Agrostis,,,,,,,,,
Agrostis canina,Perennial,Spring and Summer,Green,5,7.5,30,60,Intolerant,-33
Agrostis capillaris,Perennial,Spring and Summer,Green,4.9,7.5,32,60,Intolerant,-53
